,title,price,link
25,ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-BQ322WS Thin and L...,"₹36,999",/asus-vivobook-15-2022-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-bq322ws-thin-light-laptop/p/itm60eb4c38db6f6?pid=COMGB6DZBWCDEXXA&lid=LSTCOMGB6DZBWCDEXXAMHCEBC&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_26&otracker=search&fm=organic&iid=10f25625-8934-47dd-9507-b2cc5f6a4eba.COMGB6DZBWCDEXXA.SEARCH&ppt=None&ppn=None&ssid=um22vtbads0000001664602188376&qH=c06ea84a1e3dc3c6
26,HP Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1559AU Thin and Light Laptop,"₹29,990",/hp-athlon-dual-core-3050u-8-gb-512-gb-ssd-windows-11-home-15s-eq1559au-thin-light-laptop/p/itm805c7d908648d?pid=COMGG63HRV3GFN4G&lid=LSTCOMGG63HRV3GFN4GPLQ1JG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_27&otracker=search&fm=organic&iid=10f25625-8934-47dd-9507-b2cc5f6a4eba.COMGG63HRV3GFN4G.SEARCH&ppt=None&ppn=None&ssid=um22vtbads0000001664602188376&qH=c06ea84a1e3dc3c6
27,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Lap...,"₹47,990",/lenovo-ideapad-3-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15alc6-thin-light-laptop/p/itm790def6ef6b6f?pid=COMG9VHHF6HVJPP9&lid=LSTCOMG9VHHF6HVJPP9U213LU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_28&otracker=search&fm=organic&iid=en_VR%2FcjkjCpXSJvb76Y1twUYcNylz5BGxsROlYfeX0cZpHzGpLdD9ciOFiqi63XbEkLCKcdjRMK54T7QlPpsdb2g%3D%3D&ppt=None&ppn=None&ssid=um22vtbads0000001664602188376&qH=c06ea84a1e3dc3c6
28,RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) Thin and Light Laptop,"₹42,990",/redmibook-pro-core-i5-11th-gen-8-gb-512-gb-ssd-windows-10-home-thin-light-laptop/p/itm436427e982703?pid=COMG4Z359A4Z3MFG&lid=LSTCOMG4Z359A4Z3MFGOJQLGB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_29&otracker=search&fm=organic&iid=10f25625-8934-47dd-9507-b2cc5f6a4eba.COMG4Z359A4Z3MFG.SEARCH&ppt=None&ppn=None&ssid=um22vtbads0000001664602188376&qH=c06ea84a1e3dc3c6
29,ASUS Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ382WS Laptop,"₹31,499",/asus-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej382ws-laptop/p/itma0bbda903c72b?pid=COMGHHWNHHPAGR9U&lid=LSTCOMGHHWNHHPAGR9UGYZR4L&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_30&otracker=search&fm=organic&iid=10f25625-8934-47dd-9507-b2cc5f6a4eba.COMGHHWNHHPAGR9U.SEARCH&ppt=None&ppn=None&ssid=um22vtbads0000001664602188376&qH=c06ea84a1e3dc3c6
30,HP Pavilion Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1019AU Thin and Light La...,"₹59,999",/hp-pavilion-ryzen-5-hexa-core-5625u-16-gb-512-gb-ssd-windows-11-home-14-ec1019au-thin-light-laptop/p/itm4ec1b61477716?pid=COMGDSFCWQY5EFZB&lid=LSTCOMGDSFCWQY5EFZBI2IRJS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_31&otracker=search&fm=organic&iid=10f25625-8934-47dd-9507-b2cc5f6a4eba.COMGDSFCWQY5EFZB.SEARCH&ppt=None&ppn=None&ssid=um22vtbads0000001664602188376&qH=c06ea84a1e3dc3c6
31,MSI GF63 Thin Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 165...,"₹64,990",/msi-gf63-thin-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-max-q-11sc-1046in-gaming-laptop/p/itm4b5beacb857d7?pid=COMGGZ23ZZPQYFJA&lid=LSTCOMGGZ23ZZPQYFJAWNHHWX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_32&otracker=search&fm=organic&iid=en_VR%2FcjkjCpXSJvb76Y1twUYcNylz5BGxsROlYfeX0cZqD%2FV2mI%2BnlEZA3Zvik%2BkkCRCyyhOVTMgOOlgzk%2FUAE0g%3D%3D&ppt=None&ppn=None&ssid=um22vtbads0000001664602188376&qH=c06ea84a1e3dc3c6
32,Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop,"₹33,490",/lenovo-ideapad-3-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-15iml05-thin-light-laptop/p/itmd1871bfcde765?pid=COMG6AKVAHWTHAQG&lid=LSTCOMG6AKVAHWTHAQGXUICJF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_33&otracker=search&fm=organic&iid=10f25625-8934-47dd-9507-b2cc5f6a4eba.COMG6AKVAHWTHAQG.SEARCH&ppt=None&ppn=None&ssid=um22vtbads0000001664602188376&qH=c06ea84a1e3dc3c6
33,Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...,"₹53,990",/lenovo-ideapad-gaming-3-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-120-hz-15ach6-15ach6d1-gaming3-15ach6d1-laptop/p/itmeb72bf79e6eb4?pid=COMG8ZHDWJXZRHBW&lid=LSTCOMG8ZHDWJXZRHBWRJPFSD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_34&otracker=search&fm=organic&iid=10f25625-8934-47dd-9507-b2cc5f6a4eba.COMG8ZHDWJXZRHBW.SEARCH&ppt=None&ppn=None&ssid=um22vtbads0000001664602188376&qH=c06ea84a1e3dc3c6
34,ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7-5700U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L71...,"₹69,990",/asus-vivobook-k15-oled-ryzen-7-octa-core-amd-r7-5700u-16-gb-512-gb-ssd-windows-11-home-km513ua-l712ws-thin-light-laptop/p/itmd737de314823c?pid=COMGB6DZQJHHSESY&lid=LSTCOMGB6DZQJHHSESYC1WZQS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_35&otracker=search&fm=organic&iid=10f25625-8934-47dd-9507-b2cc5f6a4eba.COMGB6DZQJHHSESY.SEARCH&ppt=None&ppn=None&ssid=um22vtbads0000001664602188376&qH=c06ea84a1e3dc3c6
